"index","annotation","label"
1357,"none","Artificial neural networks can be trained to perform excellently
in many application areas. Whilst they can learn from raw data to
solve sophisticated recognition and analysis problems, the acquired
knowledge remains hidden within the network architecture and is not
readily accessible for analysis or further use: Trained networks are black
boxes. Recent research efforts therefore investigate the possibility to
extract symbolic knowledge from trained networks, in order to analyze,
validate, and reuse the structural insights gained implicitly during the
training process. In this paper, we will study how knowledge in form
of propositional logic programs can be obtained in such a way that the
programs are as simple as possible&#8212;where simple is being understood
in some clearly defined and meaningful way."
1358,"none","Artur Garcez"
1359,"none","As CO2 emissions and sustainable energy
production have entered the focus of attention in politics
and industry, ecologically advantageous alternatives are strongly
promoted. We address
virtual power plants from an information technological, economic
and legal perspective in order to enable decentralized
sustainable generation.
For the realization of virtual power plants we draw on a peer-to-peer
infrastructure with market coordination and legal coverage to manage the distributed
generation units and we focus on the combination of power and heat.
Based on our prototype for a decentralized market platform, we
examine the economic and ecological impacts of an increasing
pervasiveness of distributed generation and virtual power plants
as well as their potential influence on society.

At the social level, we consider questions of local immission, but
also of growing awareness for power issues. With regard to the
ecology, we expect a reduction of overall primary energy demand
resulting from reduced transmission and transformation losses and
increased use of combined heat and power plants at a local level
leading to a reduction of emissions. Finally, since local
distributed generation makes more efficient use of primary energy
and long-distance transport lines can be reduced, we expect lower
costs for the complete system as well as reduced uncertainty with
regard to amortization of investments.
Besides a description of the methodology our
presentation will include selected results."
1360,"none","Asarnusch Rashid"
1361,"none","Asian Semantic Web Conference"
1362,"none","Aspect-Oriented Learning Objects"
1363,"none","Aspect-Oriented Programming"
1364,"none","Aspect-Oriented Reengineering of E-Learning Courseware"
1365,"none","Assigning semantics to logic programs via selector generated
models (Schwarz 2002/2003) extends several semantics, like the stable,
the inflationary, and the stable generated semantics, to programs with
arbitrary formulae in rule heads and bodies. We study this approach by
means of a unifying framework for characterizing different logic programming
semantics using level mappings (Hitzler and Wendt 2005, Hitzler
2003), thereby supporting the claim that this framework is very flexible
and applicable to very diversely defined semantics."
1366,"none","Association rules are used to investigate large databases. The analyst is usually confronted with large lists of such rules and has to find the most relevant ones for his purpose. Based on results about knowledge representation within the theoretical framework of Formal Concept Anal- ysis, we present relatively small bases for association rules from which all rules can be deduced. We also provide algorithms for their calculation."
1367,"none","Assumption Hunting as Developing Method for Problem-Solving Methods"
1368,"none","Assumptions and Limitations of a Problem-Solving Method: A Case Study"
1369,"none","Assumptions in model-based diagnosis"
1370,"none","Assumptions of Problem-Solving Methods and their Role in Knowledge Engineering"
1371,"none","Assumtions in Model-based Diagnosis"
1372,"none","Asun Gomez-Perez"
1373,"none","AsunciÃ³n  GÃ³mez-PÃ©rez"
1374,"none","AsunciÃ³n GÃ³mez-PÃ©rez"
1375,"none","Atanas Kiryakov"
1376,"none","Athens, Georgia"
1377,"none","Athens, USA"
1378,"none","Athur Stutt"
1379,"none","Augsburg"
1380,"none","August"
1381,"none","Ausgezeichnete Informatikdissertationen"
1382,"none","Authoring and Annotation of Web Pages in CREAM"
1383,"none","Automated Bidding for Trading Grid Services"
1384,"none","Automatic Acquisition of Taxonomies from Text: FCA meets NLP"
1385,"none","Automatic Evaluation of Ontologies (AEON)"
1386,"none","Automatic Matchmaking of Web Services"
1387,"none","Automatic Matchmaking of Web Services (Poster)"
1388,"none","Automatic User Assistance For Business Process Decomposition"
1389,"none","Automatic User Support for Business Process Modeling"
1390,"none","Automatic intelligent web exploration will benefit from shallow information extraction techniques if the latter can be brought to work within many different domains. The major bottleneck for this, however, lies in the so far difficult and expensive modeling of lexical knowledge, extraction rules, and an ontology that together define the information extraction system. In this paper we present a bootstrapping approach that allows for the fast creation of an ontology-based information extracting system relying on several basic components, viz. a core information extraction system, an ontology engineering environment and an inference engine. We make extensive use of machine learning techniques to support the semi-automatic, incremental bootstrapping of the domain-specific target information extraction system"
1391,"none","Automatic multi-label subject indexing in a multilingual environment"
1392,"none","Automatically Learning Qualia Structures from the Web"
1393,"none","Automation"
1394,"none","Automatische Wissensintegration mit Ontologien"
1395,"none","Automatisiertes SchlieÃŸen mit formalen Begriffen: Implementierung"
1396,"none","Automatisiertes SchlieÃŸen mit formalen Begriffen: Mathematische Grundlagen"
1397,"none","Axel Maurer"
1398,"none","Axel Polleres"
1399,"none","Axioms are Objects, too - Ontology Engineering beyond the Modeling of Concepts and Relations"
1400,"none","B. Chandrasekaran"
1401,"none","B. Dellen"
1402,"none","B. Groh"
1403,"none","B. Mougouie"
1404,"none","B. Thalheim"
1405,"none","B. Trousse"
1406,"none","B4"
1407,"none","BMBF"
1408,"none","BMWA"
1409,"none","BNCOD 2001 - 18th British National Conference on Databases, Oxford, UK, 9th - 11th July 2001"
1410,"none","BT Technology Journal"
1411,"none","Ballarat, Victoria, Australia"
1412,"none","Bamshad Mobasher"
1413,"none","Band 1"
1414,"none","Banff, Alberta, Canada"
1415,"none","Barbara Messing"
1416,"none","Barbara Sprick"
1417,"none","Bastian Quilitz"
1418,"none","Bautechnik"
1419,"none","Bd.1"
1420,"none","BegabtenfÃ¶rderung im MINT-Bereich 12"
1421,"none","BegabtenfÃ¶rderung im MINT-Bereich Band 12"
1422,"none","Begriffliche Wissensverarbeitung - Methoden und Anwendungen"
1423,"none","Beijing, China"
1424,"none","Beitragsband zum Studierenden-Programm bei der 9. Fachtagung ""Datenbanksysteme in BÃ¼ro, Technik und Wissenschaft"
1425,"none","BeitrÃ¤ge der 33. Jahrestagung der Gesellschaft fÃ¼r Informatik e.V. (GI), 29.9.-2.10.2003 in Frankfurt am Main"
1426,"none","BeitrÃ¤ge der Fachtagung an der UniversitÃ¤t Kassel am 6. November 2003"
1427,"none","BeitrÃ¤ge zum 7. Fachgruppentreffen Maschinelles Lernen, Kaiserslautern, August, 1994, Forschungsbericht LSA-95-01, Zentrum fÃ¼r Lernende Systeme und Anwendungen, Fachbereich Informatik, UniversitÃ¤t Kaiserslautern"
1428,"none","BeitrÃ¤ge zum 9. Fachgruppentreffen Maschinelles Lernen der GI Fachgruppe 1.1.3, Chemnitz, August 1996, Chemnitzer Informatik-Berichte CSR-96-06, FakultÃ¤t fÃ¼r Informatik, Technische UniversitÃ¤t Chemnitz-Zwickau"
1429,"none","Ben Majer"
1430,"none","Benjamin Grosof"
1431,"none","Benoit Otjacques"
1432,"none","BenutzerunterstÃ¼tzung fÃ¼r Wissensentdeckung in Datenbanken"
1433,"none","Berenike Loos"
1434,"none","Berlin"
1435,"none","Berlin, Heidelberg"
1436,"none","Berlin, Heidelberg, New York"
1437,"none","Berlin, Offenbach"
1438,"none","Bernardo Cuenca Grau"
1439,"none","Bernardo Magnini"
1440,"none","Bernd Neumann"
1441,"none","Bernd Prager"
1442,"none","Bernd Scheuermann"
1443,"none","Bernd Simon"
1444,"none","Bernd Walter"
1445,"none","Bernhadr KÃ¶lmel"
1446,"none","Bernhard  SchÃ¼ler"
1447,"none","Bernhard Ganter"
1448,"none","Bernhard KÃ¶lmel"
1449,"none","Bernhard Sendhoff"
1450,"none","Bernhard Sick"
1451,"none","Bernhard Tausch"
1452,"none","Best Paper Award"
1453,"none","Best Practices and Guidelines"
1454,"none","Bettina Berendt"
1455,"none","Bibster - A Semantics-Based Bibliographic Peer-to-Peer System"
1456,"none","Bibster - Semantische Verwaltung von bibliographischen Informationen in einem Peer-to-Peer-System"
1457,"none","Bibster -- A Semantics-Based Bibliographic Peer-to-Peer System"
1458,"none","Bibster is a semantics-based Peer-to-Peer system for exchanging bibliographic data among researchers. Bibster exploits ontologies in data storage, query formulation, query routing and answer presentation. While the original Bibster system assumed a globally shared domain ontology, we here describe extensions to the Bibster system, that allow to learn personalized ontologies from the local bibliographic metadata. These personal ontologies can not only be used for subsequently classifying the bibliographic metadata, but also for supporting an improved query refinement process."
1459,"none","Bijan Parsia"
1460,"none","Biologically Inspired Cooperative Computing"
1461,"none","Bj{""{o}}rn Schnizler"
1462,"none","BjÃ¶rn Schnizler"
1463,"none","Blake Shepard"
1464,"none","Blaz Fortuna"
1465,"none","Bled/Slovenia"
1466,"none","Blended Learning in der Datenbank-Ausbildung"
1467,"none","Blended Learning in der Hochschule"
1468,"none","Bob Wielinga"
1469,"none","Bologna, Italy"
1470,"none","Bonn"
1471,"none","Bonn, Germany"
1472,"none","Boosting for Text Classification with Semantic Features"
1473,"none","Bootstrapping Ontology Alignment Methods with APFEL"
1474,"none","Bootstrapping an Ontology-based Information Extraction System"
1475,"none","Bootstrapping an Ontology-based Information Extraction System for the Web"
1476,"none","Boris Lauser"
1477,"none","Boris Motik"
1478,"none","Boris Wolf"
1479,"none","Borovets, Bulgaria"
1480,"none","Boston, MA"
1481,"none","Both OWL-DL and function-free Horn rules are decidable fragments of first-order logic with interesting, yet orthogonal expressive power. A combination of OWL-DL and rules is desirable for the Semantic Web; however, it might easily lead to the undecidability of interesting reasoning problems. Here, we present a decidable such combination where rules are required to be DL-safe: each variable in the rule is required to occur in a non-DL-atom in the rule body. We discuss the expressive power of such a combination and present an algorithm for query answering in the related logic SHIQ extended with DL-safe rules, based on a reduction to disjunctive programs."
1482,"none","Bottom-up integration aims at exploring the synergies which the SEKT core technologies offer
for (semi-)automatic creation and maintenance of ontologies and for the application of ontology
technologies in certain settings. After the initial status report in month 18, this deliverable focuses
on integration activities between the KDD and OM core technologies, in particular between the
TEXTGARDEN and KAON tool suites. It is part of a series of bottom-up deliverables D6.6.x,
each reporting on bilateral integration activities for different pairings of the core technologies."
1483,"none","Braunschweig/Wiesbaden"
1484,"none","Bridging the Paradigm Gap with Rules for OWL"
1485,"none","Brighton, UK"
1486,"none","Bringing Knowledge to Business Processes. Papers from 2000 AAAI Spring Symposium"
1487,"none","Browsing for Information by Highlighting Automatically Generated Annotations"
1488,"none","Bruce Porter"
1489,"none","Bruce Schatz"
1490,"none","Budva, Montenegro"
1491,"none","Building Models for Bridges"
1492,"none","Building and Applying Ontologies for the Semantic Web (BAOSW 2005)"
1493,"none","Building and Using the Semantic Web"
1494,"none","Building knowledge-based systems from reusable elements is a key factor in their economic development. However, one has to ensure that the assumptions and functionality of the reused building block fit to each other and the specific circumstances of the actual problem and knowledge. We use the Karlsruhe Interactive Verifier (KIV) for this purpose. We show how the verification of conceptual and formal specifications of knowledge-based systems can be done with it. KIV was originally developed for the verification of procedural programs but it fits well for verifying knowledge-based systems. Its specification language is based on algebraic specification means for the functional specification of components and dynamic logic for the algorithmic specification. It provides an interactive theorem prover integrated into a sophisticated tool environment supporting aspects like the automatic generation of proof obligations, generation of counter examples, proof management, proof reuse etc. Such a support is essential in making verification of complex specifications feasible. We provide some examples on how to specify and verify tasks, problem-solving methods, and their relationships. 
An earlier version was appeared as: Specifying and Verifying Knowledge-Based Systems with KIV. In Proceedings of the European Symposium on the Validation and Verification of Knowledge Based Systems EUROVAV-97, Leuven Belgium, June 26-28, 1997."
1495,"none","Building the Knowledge Economy: Issues, Applications, Case Studies"
1496,"none","Burkart Sellin"
1497,"none","Burkhard Wrenger"
1498,"none","Business Information Systems, Proceedings of 7th BIS 2004"
1499,"none","Business Information and Communication Systems"
1500,"none","Business Process Management"
1501,"none","Business economics"
1502,"none","Business models"
1503,"none","Business-Process- und Workflow-Management: Prozessverbesserung durch Prozess-Management"
1504,"none","Buxton, UK"
1505,"none","C Schmidt"
1506,"none","C. Barz"
1507,"none","C. Biasuzzi"
1508,"none","C. Bussler"
1509,"none","C. Fillies"
1510,"none","C. Shearer"
1511,"none","CAiSE 2003"
1512,"none","CAiSE Forum 2006 Proceedings at the 18th Conference on Advanced Information Systems Engineering (CAiSE)"
1513,"none","CEM - A Conceptual Email Manager"
1514,"none","CEM - A Program for Visualization and Discovery in Email"
1515,"none","CEM is an email management system which stores its email in a concept lattice rather than in the usual tree structure. By using such a conceptual multi-hierarchy, the system provides more in retrieving stored emails. The paper presents the underlying mathematical structures, discusses requirements for their maintenance and presents their implementation."
1516,"none","CEPIS Workshop Proceedings eChallenges, 20 October 2005, Ljubljana, Slovenia - in progress"
1517,"none","CEPIS Workshop Proceedings eChallenges, 22 October 2003, Bologna, Italy"
1518,"none","CEPIS Workshop Proceedings eChallenges, 28 October 2004, Vienna, Austria"
1519,"none","CEUR Workshop Proceedings"
1520,"none","CIA '99 - Proceedings of the 3rd international Workshop on Cooperating Information Agents. Upsala, Sweden"
1521,"none","CKDD - Conceptual Knowledge Discovery"
1522,"none","CONsense - Cooperatives Wissensmanagement in Virtuellen Organisationen"
1523,"none","CONsense: Kooperatives Wissensmanagement in virtuellen Organisationen"
1524,"none","CREAM - Creating Metadata for the Semantic Web"
1525,"none","CREAM - Creating relational metadata with a component-based, ontology-driven annotation framework"
1526,"none","CREAting relational Metadata (CREAM) -- a framework for semantic annotation"
1527,"none","CRM-Erfolgsfaktor Kundenorientierung"
1528,"none","CRM-Systeme mit EAI - Konzeption, Implementierung und Evaluation"
1529,"none","CRM-Systeme mit EAI â€“ Konzeption, Implementierung und Evaluation."
1530,"none","Cambridge, USA"
1531,"none","Campus Mobile Communication Center"
1532,"none","Can you build the Semantic Web in one day? Most likely your answer would be ""No, that&#8217;s impossible."" Let&#8217;s look at a simpler question: Can you build the Web in one day? If you consider the Web in its entirety, your answer would also be ""No."" But what if you think of it as magnitudes smaller? You can build HTML pages in minutes and a simple Web shop in a few hours, including, for example, applying for Web space. All this in the same amount of time it takes your kids to set up a wireless LAN, install a Web server, and create a Web site for the home intranet to show family vacation pictures. You can realize a broad range of applications quite easily.
To determine just how far Semantic Web technologies have come, we wanted to create a snapshot of what you could do by applying and assembling existing Semantic Web technologies &#8212; in one day. Our experiment&#8217;s main aim was to get a feel for the practical applicability of current research by integrating different technologies into something ""up and running."" As an added benefit, we learned a lot about the areas in which the Semantic Web&#8217;s many research directions intersect, such as knowledge representation, natural language processing, and peer-to-peer."
1533,"none","Candle - Collaborative and Network Distributed Learning Environment"
1534,"none","Carl Kesselman"
1535,"none","Carlos Buil"
1536,"none","Carlos F. Enguix"
1537,"none","Carole Goble"
1538,"none","Carolina M.  Laborde"
1539,"none","Caroline Tenhonsel"
1540,"none","Carsten  Gentner"
1541,"none","Carsten Dittmar"
1542,"none","Carsten Lutz"
1543,"none","Carsten Saathoff"
1544,"none","Case Study: Wirtschaftlichkeit von mobilen EndgerÃ¤ten in KrankenhÃ¤usern der Maximalversorgung"
1545,"none","Category Theory in Ontology Research: Concrete Gain from an Abstract Approach"
1546,"none","Cavtat/Dubrovnik, Croatia"
1547,"none","Cedefop Dossier series"
1548,"none","Certifying Business Processes to Build Trust in E-Business"
1549,"none","Change Discovery in the Ontology-based Knowledge Management Systems"
1550,"none","Chiara Zini"
1551,"none","Chiba, Japan"
1552,"none","Chicago, USA"
1553,"none","Chr.  Breitner"
1554,"none","Chr. Pierret"
1555,"none","Christa Larsen"
1556,"none","Christiaan Fluit"
1557,"none","Christiaan.Fluit@aduna.biz"
1558,"none","Christian Blaschke"
1559,"none","Christian Braun"
1560,"none","Christian Kop"
1561,"none","Christian Max Ullrich"
1562,"none","Christian MÃ¼ller-Schloer"
1563,"none","Christian Rupprecht"
1564,"none","Christian Schmidt"
1565,"none","Christian Ullrich"
1566,"none","Christiane Theusinger"
1567,"none","Christof Momm"
1568,"none","Christof Weinhardt"
1569,"none","Christoph Amma"
1570,"none","Christoph Schmitz"
1571,"none","Christoph Tempich"
1572,"none","Christopher Brewster"
1573,"none","Christopher NeuÃŸ"
1574,"none","Christopher Welty"
1575,"none","Claire Nedellec"
1576,"none","Classification and Information Processing at the Turn of the Millennium, Proc. of the 23rd Annual Conf. of the Gesellschaft fuer Klassifikation e.V."
1577,"none","Classification of eBay Bidding Characteristics"
1578,"none","Claudio Giuliano"
1579,"none","Claus Kaldeich"
1580,"none","Claus-Peter Klas"
1581,"none","Clustering Ontologies from Text"
1582,"none","Clustering of Polysemic Words"
1583,"none","Co-evolving business models: A case study with the internet service provider (ISP) industry"
1584,"none","CoaSt - KomplexitÃ¤t und Struktur"
1585,"none","Coevolutionary Ant Algorithms for Playing Games"
1586,"none","Coevolutionary ant algorithms playing games"
1587,"none","Colin Johnson"
1588,"none","Collaboration in virtual teams and media competence are in great demand in todayâ€™s business life. With the aid of a new form of seminars we aim to give our students these qualifications. In this work we present our teleseminar scenario, where students can practice new collaboration technologies in a teaching scenario integrating groupware and videoconferencing. After describing our teleseminar scenario both in technical and organizational aspects, we evaluate them, in order to give recommendations and to present our improvement plans."
1589,"none","Collaborative and Usage-driven Evolution of Personal Ontologies"
1590,"none","Combined Super-/Substring and Super-/Subsequence Problems"
1591,"none","Combining KARL and Configurable Role Limiting Methods for Configuring Elevator Systems"
1592,"none","Combining individually inconsistent prioritized knowledge bases"
1593,"none","Combining multiple knowledge bases by negotiation: A possibilistic approach"
1594,"none","Common clustering techniques have the disadvantage that they do not provide intensional descriptions of the clusters obtained. Conceptual Clustering techniques, on the other hand, provide such descriptions, but are known to be rather slow. In this paper, we discuss a way of combining both techniques. We first cluster the documents by avariant of k {Means, using a thesaurus as background
knowledge. This clustering reduces the large number of documents to a relatively small number of clusters, which can then be clustered conceptually in the second step."
1595,"none","Community based Ranking in Peer-to-Peer Networks"
1596,"none","Community is Knowledge! in (KA)2"
1597,"none","Community web portals serve as portals for the information needs of particular communities on the web. We here discuss
how a comprehensive, ontology-based approach for building and maintaining a high-value community web portal has been conceived and implemented. The ontology serves as a semantic backbone for accessing knowledge on the portal, for contributing information, as well as for developing and maintaining the portal. In particular, the ontology allows for flexible querying and inferencing of knowledge. Actual usage of our technology is facilitated through a set of tools that are about to turn our research system into a portal for wide-spread usage
right now. The development of these tools has greatly benefited from some first experiences we had with actual users of the community web portal of the knowledge acquisition community."
1598,"none","Community web portals serve as portals for the information needs of particular communities on the web. We here discuss how a comprehensive and flexible strategy for building and maintaining a high-value community web portal has been conceived and implemented. The strategy includes collaborative information provisioning by the community members. It is based on an ontology as a semantic backbone for accessing information on the portal, for contributing information, as well as for developing and maintaining the portal. We have also implemented a set of ontology-based tools that have facilitated the construction of our show case - the community web portal of the knowledge acquisition community."
1599,"none","Community web sites exhibit the property that multiple content
providers exist. Of course, any portal is only as useful as the
quality and amount of its content. Developing original content is
time consuming and expensive. To offset the cost, we present a
novel framework, viz. SEAL (SEmantic portAL), that builds on
Semantic Web standards.  We illustrate our approach with examples
from the OntoWeb community portal. Community web sites exhibit two
dominating properties: They often need to integrate many different
information sources and they require an adequate web site
management system. SEAL exploits ontologies for fulfilling the
requirements set forth by these two properties. Ontologies provide
a high level of sophistication for web information integration as
well as for web site management."
1600,"none","Community web sites exhibit two dominating properties: They often need to integrate many different in-formation
sources and they require an adequate web site management system. SEAL (SEmantic portAL)
is a conceptual model that exploits ontologies for fulfilling the requirements set forth by these two prop-erties
at once. The ontology provides a high level of sophistication for web information integration as
well as for web site management. We describe the SEAL conceptual architecture as well as its current
implementation in KAON."
1601,"none","Comparative and Functional Genomics"
1602,"none","Comparing Conceptual, Partitional and Agglomerative Clustering for Learning Taxonomies from Text"
1603,"none","Comparing Ontologies - Similarity Measures and a Comparison Study"
1604,"none","Comparison of Different Approaches for Mobile Advertising"
1605,"none","Comparison of Multi-Objective Evolutionary Algorithms in Optimizing Combinations of Reinsurance Contracts"
1606,"none","Competitive & Business Intelligence - Neue Konzepte, Methoden & Instrumente"
1607,"none","Complement Proceedings of the European Knowledge Acquisition Workshop (EKAW-93), Toulouse, France, September 6-10, 1993"
1608,"none","Complexity 2003: Complex Behaviour in Economics Conference, Aix-en-Provence, France"
1609,"none","Complexity Management"
1610,"none","Computational Biology"
1611,"none","Computational Economics"
1612,"none","Computational Logic - CL 2000. Proc. CL '00"
1613,"none","Computational Statistics  Data Analysis"
1614,"none","Computer Networks"
1615,"none","Computer Science"
1616,"none","Computer Science in Perspektive"
1617,"none","Computer Zeitung 37 (40), 2nd of October 2006, p. 21."
1618,"none","ComputergestÃ¼tzte Analyse der von Rommelfanger vorgeschlagenen Operatoren in unscharfen NetzplÃ¤nen"
1619,"none","Computing First-Order Logic Programs by Fibring Artificial Neural Networks"
1620,"none","Computing Iceberg Concept Lattices with TITANIC"
1621,"none","Computing Iceberg Concept Lattices with Titanic"
1622,"none","Conceptual Clustering of Text Clusters"
1623,"none","Conceptual Clustering with Iceberg Concept Lattices"
1624,"none","Conceptual Data Structures (CDS) -- Towards an Ontology for Semi-Formal Articulation of Personal Knowledge"
1625,"none","Conceptual Information Systems Discussed Through an IT-Security Tool"
1626,"none","Conceptual Information Systems are based on a formaliza- tion of the concept of `concept' as it is discussed in traditional philo- sophical logic. This formalization supports a human-centered approach to the development of Information Systems. We discuss this approach by means of an implemented Conceptual Information System for supporting IT security management in companies and organizations."
1627,"none","Conceptual Knowledge Discovery - a human-centered approach"
1628,"none","Conceptual Knowledge Discovery and Data Analysis"
1629,"none","Conceptual Knowledge Processing with Formal Concept Analysis and Ontologies"
1630,"none","Conceptual On-Line Analytical Processing"
1631,"none","Conceptual Structures at Work: 12th International Conference on Conceptual Structures"
1632,"none","Conceptual Structures for Knowledge Creation and Communication"
1633,"none","Conceptual Structures: Broadening the Base, 9th International Conference on Conceptual Structures"
1634,"none","Conceptual Structures: Broadening the Base, Proc. ICCS 2001"
1635,"none","Conceptual Structures: Broadening the Base. Proc. ICCS '01"
1636,"none","Conceptual Structures: Common Semantics for Sharing Knowledge. Proceedings of the 13th International Conference on Conceptual Structures, ICCS '05, Kassel, Germany, July 2005"
1637,"none","Conceptual Structures: Inspiration and Application, Proceedings of the 14th International Conference on Conceptual Structures, ICCS 2006, Aalborg, Denmark, July 2006"
1638,"none","Conceptual Structures: Inspiration and Application. 14th International Conference on Conceptual Structures, ICCS 2006, Aalborg, Denmark, July 2006, Proceedings"
1639,"none","Conceptual Structures: Integration and Interfaces, Proc. ICCS 2002"
1640,"none","Conceptual Structures: Logical, Linguistic, and Computational Issues. Proc. ICCS '00"
1641,"none","Conceptual Structures: Logical, Linguistic, and Computational Issues. Proc. ICCS'00"
1642,"none","Conceptual Structures:Logical, Linguistic, and Computational Issues. Proc. ICCS '00"
1643,"none","Conceptual User Tracking"
1644,"none","Conceptual and Formal Specifications of Problem-Solving Methods"
1645,"none","Congress on Evolutionary Computation"
1646,"none","Connor Shankey"
1647,"none","Consistent Evolution of OWL Ontologies"
1648,"none","Contemporary Knowledge Engineering And Cognition"
1649,"none","Context dependency of knowledge models causes several problems: unreliability of knowledge-based systems, maintainability effort and limitations for sharing and reuse. Problem-solving methods are knowledge models of the reasoning process of knowledge-based systems. In the paper we present a method called inverse verification to deal with the situatedness of problem-solving methods. Inverse verification investigates the context dependency of a method by making underlaying assumptions explicit. It uses failed proof attempts as a search method for assumptions and analysis of these failures for constructing and refining assumptions."
1650,"none","Context-oriented knowledge management: an outlook"
1651,"none","Cooking the Semantic Web with the OWL API"
1652,"none","Copenhagen, Denmark"
1653,"none","Corinna Kraft"
1654,"none","Cornelia Richter-von Hagen"
1655,"none","Correlation engines are autonomic computing systems that perform the automated, continuous analysis of enterprise-wide event data based on user-defined, configurable rules in order to detect threats and protect a system from them. In this paper we discuss the run-time advantages of using ontologies as a conceptual backbone for describing knowledge processed by correlation engines."
1656,"none","Cost estimation for ontology development: applying the ONTOCOM model"
1657,"none","Counter-based Ant Colony Optimization as a Hardware-oriented Meta-Heuristic"
1658,"none","Courseware-Engineering"
1659,"none","Covilha, Portugal"
1660,"none","Craig Knoblock"
1661,"none","Creating Metadata for the Semantic Web: An Annotation Framework and the Human Factor"
1662,"none","Creating metadata by annotating documents is one of the major techniques for putting machine understandable data on the Web. Though there exist many tools for annotating web pages, few of them fully support the creation of semanti-cally interlinked metadata, such as necessary for a truely Semantic Web. In this paper, we present an ontology-based annotation environment, On-toAnnotate, which offers comprehensive support for the creation of semantically interlinked meta-data by human annotators."
1663,"none","Creating the Semantic Web"
1664,"none","Creation and Merging of Ontology Top-Levels"
1665,"none","Creation of a browsable Prototype of the Portal"
1666,"none","Credential based Access Control for Semantic Web Services"
1667,"none","Credit risk: measurement, evaluation and management"
1668,"none","Cumulative Habilitation, University of Karlsruhe, May 2002 (German survey paper, 5 English contributions, German CV)"
1669,"none","Cunyin Zhou"
1670,"none","Current Wiki engines are mostly monolithic applications which intermingle parser, user interface and data management backend. In this paper we show how these three components can be realised as lightweight, REST-style web services. We explain why this separation is useful and how the wiki community benefits from such an approach. Additionally, the presented wiki allows semantic statements and
queries over the model."
1671,"none","Current courseware is often tightly coupled with a specific e-learning system for its access and presentation. We identify the system components and their interaction in creating, publishing, accessing and executing platform independent learning content. We present a system model aimed at using inexpensive of-the-shelf components to supply the core functionality while being ready to integrate flexible and powerful content management and e-learning support systems in future."
1672,"none","Current learning management systems often lack suffi-cient support for processes in e-learning, including  teaching, learning, and administration processes. In this paper a new approach is presented for increasing the functionality of e-learning platforms by adding workflow-support. The use of a new variant of high-level Petri nets allows for an integrated description of complex learning objects and related processes. Advantages of workflow-based learning-object management can be seen especially for the customization and personalization of processes and the measurement of results, e.g., economic benefits."
1673,"none","Current middleware solutions, e.g., application servers and Web services, are very complex software products that are hard to tame because of intricacies of distributed systems. Their functionalities have mostly been developed and managed with the help of administration tools and corresponding configuration files, recently in XML. Though this constitutes flexibility for developing and administrating a distributed application, the conceptual model underlying the different configurations is only implicit.

To remedy such problems, Semantic Management of Middleware contributes an ontology-based approach to support the development and administration of middleware-based applications. The ontology is an explicit conceptual model with formal logic-based semantics. Its descriptions may therefore be queried, may foresight required actions, or may be checked to avoid inconsistent system configurations.

This book builds a rigorous approach towards giving the declarative descriptions of components and services a well-defined meaning by specifying ontological foundations and by showing how such foundations may be realized in practical, up-and-running systems."
1674,"none","Currently dozens of XML-based applications exist or are under development. Many of them offer DTDs that define the structure of actual XML documents. Access to these documents relies on special purpose applications or on query languages that are closely tied to the document structures. Our approach uses ontologies to derive a canonical structure, i.e. a DTD, to access sets of distributed XML documents on a conceptual level. We will show how the combination of conceptual modeling, inheritance, and inference mechanisms on the one hand with the popularity, simplicity, and flexibility of XML on the other hand leads to applications providing a broad range of high quality information."
1675,"none","Currently, the variety of expressive extensions and different semantics created for logic programs with negation is diverse and heterogeneous, and there is a lack of comprehensive comparative studies which map out the multitude of perspectives in a uniform way. Most recently, however, new methodologies have been proposed which allow one to derive uniform characterizations of different declarative semantics for logic programs with negation. In this paper, we study the relationship between two of these approaches, namely the level mapping characterizations due to [Hitzler and Wendt 2005], and the selector generated models due to [Schwarz 2004]. We will show that the latter can be captured by means of the former, thereby supporting the claim that level mappings provide a very flexible framework which is applicable to very diversely defined semantics."
1676,"none","Customer Relationship Management"
1677,"none","CÃ©cile Paris"
1678,"none","D. Blum"
1679,"none","D. DeRoure"
1680,"none","D. Fain"
1681,"none","D. Gannon"
1682,"none","D. HÃ¤uÃŸler"
1683,"none","D. Manzano"
1684,"none","D. Ognyanov"
1685,"none","D. Pennock"
1686,"none","D. Pisanelli"
1687,"none","D. Plexousakis"
1688,"none","D. Priebe"
1689,"none","D. Richards"
1690,"none","D. Sonntag"
1691,"none","D. Wenke"
1692,"none","D1.2.3"
1693,"none","D2.1.2.1v1"
1694,"none","D2.2.5"
1695,"none","D3.1.1"
1696,"none","D3.1.2"
1697,"none","D3.2.2 Usage-driven Change Discovery: Evaluation"
1698,"none","D4.1 Report on aceMedia Semantic Structures and Application Domain Ontologies"
1699,"none","D4.5 Specification of Formal Models and Structures for Context Representation"
1700,"none","D6.6.1 Report on the integration of ML, HLT and OM"
1701,"none","D6.6.3 Integration of TextGarden and KAON"
1702,"none","DAAD PPP USA (Stanford) - Reuse of Ontologies - Advanced Ontology Rating with Protege"
1703,"none","DAML - OntoAgents - Enabling Intelligent Agents on the Web, based on Darpa Agent Markup Language"
1704,"none","DARPA"
1705,"none","DEXA 2003"
1706,"none","DFG"
